City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
373,nanzhang chengguanzhen,31.7839,111.8275,30.96,76,100,2.26,CN,1691312137
374,chhatak,25.0333,91.6667,26.14,97,100,1.53,BD,1691312137
375,latakia,35.5148,35.7768,31.1,72,17,8.33,SY,1691312137
376,vodnyy,63.5046,53.4095,23.25,64,1,2.02,RU,1691312138
377,merritt island,28.5392,-80.672,27.21,91,0,2.57,US,1691312138
378,las varillas,-31.8721,-62.7195,14.28,87,1,1.46,AR,1691312138
379,bechar,31.6167,-2.2167,34.18,15,0,3.09,DZ,1691312138
380,charlottetown,46.2352,-63.1267,16.29,100,100,3.09,CA,1691311993
381,tazacorte,28.629,-17.9293,23.54,76,0,1.54,ES,1691312139
382,tierra colorada,17.1667,-99.5833,24.27,90,100,1.68,MX,1691312139
383,balykchy,42.4557,76.1861,25.12,54,86,2.38,KG,1691312139
384,ta`u,-14.2336,-169.5144,27.39,78,40,5.75,AS,1691312139
385,chos malal,-37.3781,-70.2709,7.15,68,0,2.91,AR,1691312139
386,mirny,62.5353,113.9611,16.8,88,100,5.81,RU,1691312139
387,errachidia,31.9275,-4.4285,34.03,18,20,2.57,MA,1691312121
388,chibougamau,49.9168,-74.3659,13.79,67,100,3.6,CA,1691312140
389,saipan,15.1355,145.701,29.39,100,40,2.24,MP,1691312140
390,gamba,-2.65,10.0,24.1,69,76,2.39,GA,1691312140
391,nizhnyaya tavda,57.6731,66.1725,25.94,67,80,3.86,RU,1691312140
392,boguchany,58.3814,97.4531,16.31,60,100,0.62,RU,1691312140
393,riberalta,-10.9833,-66.1,22.44,64,5,0.62,BO,1691312141
394,broceni,56.7,22.5333,20.94,88,100,5.31,LV,1691312141
395,kavieng,-2.5744,150.7967,27.46,76,24,7.1,PG,1691312141
396,kapa'a,22.0752,-159.319,26.18,86,20,6.17,US,1691312141
397,isfahan,32.6572,51.6776,34.8,8,0,2.04,IR,1691312141
398,mangrol,21.1167,70.1167,28.02,78,89,9.19,IN,1691312142
399,lata,40.1629,-8.3327,28.05,43,0,2.19,PT,1691312142
400,wagar,16.1525,36.2032,30.21,53,86,4.62,SD,1691312142
401,verkhnebakanskiy,44.8492,37.6572,34.46,31,0,3.09,RU,1691312142
402,kununurra,-15.7667,128.7333,30.99,29,6,5.66,AU,1691312035
403,tefe,-3.3542,-64.7114,23.29,83,98,1.11,BR,1691312143
404,gorazde,43.6669,18.9764,23.25,57,100,1.18,BA,1691312143
405,kidal,18.4411,1.4078,32.46,40,91,8.56,ML,1691312143
406,kamaishi,39.2667,141.8833,26.47,89,53,4.75,JP,1691312143
407,camacupa,-12.0167,17.4833,22.18,22,0,4.28,AO,1691312143
408,ciudad lazaro cardenas,17.9583,-102.2,26.09,82,100,1.68,MX,1691312144
409,prince rupert,54.3161,-130.3201,16.83,98,0,2.57,CA,1691312144
410,geraldton,-28.7667,114.6,24.23,64,75,2.57,AU,1691312144
411,tual,-5.6667,132.75,25.68,83,53,9.86,ID,1691312144
412,cozumel,20.5083,-86.9458,25.53,93,0,2.87,MX,1691312137
413,valparaiso,-33.0393,-71.6273,15.0,68,100,1.54,CL,1691312145
414,lupane,-18.9315,27.807,24.31,29,1,2.86,ZW,1691312145
415,arawa,-6.2132,155.5367,23.83,88,99,3.2,PG,1691312145
416,polyarnyy,69.1989,33.4478,11.63,85,100,2.09,RU,1691312145
417,mount isa,-20.7333,139.5,22.87,27,0,3.09,AU,1691312145
418,las heras,-46.5419,-68.9359,3.07,61,100,8.18,AR,1691312145
419,puerto maldonado,-12.6,-69.1833,21.38,67,8,1.04,PE,1691312146
420,waseca,44.0777,-93.5074,20.24,77,100,3.6,US,1691312146
421,lorengau,-2.0226,147.2712,26.18,83,79,5.05,PG,1691312146
422,gisborne,-38.6533,178.0042,6.65,87,68,2.16,NZ,1691311842
423,miyaly,48.8844,53.7836,35.63,24,2,4.62,KZ,1691312146
424,suoyarvi,62.0833,32.35,18.18,78,98,1.53,RU,1691312147
425,fuman,37.2273,49.3142,33.72,30,0,3.34,IR,1691312147
426,zouerate,22.7187,-12.4521,25.67,41,0,3.79,MR,1691312147
427,archangelos,36.2149,28.1149,28.5,49,0,1.31,GR,1691312147
428,khovd,48.0056,91.6419,27.26,21,99,1.41,MN,1691312147
429,mayqayyng,51.4625,75.7986,27.97,44,99,3.49,KZ,1691312148
430,monze,-16.2833,27.4833,22.56,40,0,4.32,ZM,1691312148
431,al faw,29.9776,48.4741,45.0,21,1,2.14,IQ,1691312148
432,inarajan village,13.2736,144.7484,29.44,87,88,1.63,GU,1691312148
433,bengkulu,-3.8004,102.2655,27.62,82,22,2.75,ID,1691312148
434,fonte boa,-2.4959,-66.2662,22.52,97,99,0.27,BR,1691312148
435,sao felix do xingu,-6.6447,-51.995,21.58,68,1,0.43,BR,1691312055
436,lauro de freitas,-12.8944,-38.3272,25.01,83,40,5.14,BR,1691312149
437,sweet home,44.3976,-122.7362,19.42,81,27,1.08,US,1691312149
438,vigan,17.5747,120.3869,31.07,72,90,6.54,PH,1691312149
439,paragominas,-2.9667,-47.4833,20.83,99,19,1.46,BR,1691312149
440,vorgashor,67.5833,63.95,28.13,42,1,5.16,RU,1691312149
441,san carlos de bariloche,-41.1456,-71.3082,3.02,58,40,1.54,AR,1691312150
442,samus',56.7475,84.6992,23.89,37,82,2.3,RU,1691312150
443,rocha,-34.4833,-54.3333,11.48,97,56,2.28,UY,1691312150
444,la passe,45.5549,-0.8967,17.8,57,50,4.51,FR,1691312150
445,san antonio de pale,-1.4014,5.6325,23.53,74,85,4.01,GQ,1691312150
446,feodosiya,45.0333,35.3833,29.39,59,0,4.87,UA,1691312151
447,moron,-34.6534,-58.6198,15.0,86,82,8.94,AR,1691312151
448,tomatlan,19.9333,-105.25,24.51,84,100,1.25,MX,1691312151
449,kone,-21.0595,164.8658,18.62,81,19,4.06,NC,1691312151
